,Unnamed: 0,tweet,hash,stopped,lemmaed
31649,31649,with people like kumar khetkar congress is fighting for zero lol,exitpoll2019,people like kumar khetkar congress fighting zero lol,people like kumar khetkar congress fighting zero lol
31650,31650,if not modi who opposition didnt have an answer india had,indiatodayaxispoll,modi opposition didnt answer india,modi opposition didnt answer india
31651,31651,pmoindia,jeetegatomodihi,pmoindia,pmoindia
31652,31652,priyankagandhi aap kuch nii bole,aajtakaxisexitpoll,priyankagandhi aap kuch nii bole,priyankagandhi aap kuch nii bole
31653,31653,mark my words bjp4india is not getting more than 220 seats by any logic,exitpolls,mark words bjp4india getting 220 seats logic,mark word bjp4india getting 220 seat logic
31654,31654,sagarikaghose some body call fire extinguisher,exitpoll2019,sagarikaghose body call fire extinguisher,sagarikaghose body call fire extinguisher
31655,31655,iamshaumik aav kabhi haveli parafter,exitpoll2019,iamshaumik aav kabhi haveli parafter,iamshaumik aav kabhi haveli parafter
31656,31656,sushmaswaraj arvindkejriwal pls help to find the missing girl from delhi,loksabhaelections2019,sushmaswaraj arvindkejriwal pls help find missing girl delhi,sushmaswaraj arvindkejriwal pls help find missing girl delhi
31657,31657,choose wisely,news24todayschanakya,choose wisely,choose wisely
31658,31658,really india will get a new devegauda,exitpoll2019,really india get new devegauda,really india get new devegauda
31660,31660,sudhirchaudhary i have not seen you more happy than today,exitpolls,sudhirchaudhary seen happy today,sudhirchaudhary seen happy today
31662,31662,modi wave,exitpoll2019,modi wave,modi wave
31663,31663,my personal prediction isnda 210upa 180other 153,exitpoll2019,personal prediction isnda 210upa 180other 153,personal prediction isnda 210upa 180other 153
31664,31664,next pm,exitpoll2019,next pm,next pm
31666,31666,modified india,exitpoll2019,modified india,modified india
31667,31667,imaditiofficial jai ho,aayegatomodihi,imaditiofficial jai ho,imaditiofficial jai ho
31668,31668,iansindia mamataofficial an excellent story on malfunctioning of read now,evms,iansindia mamataofficial excellent story malfunctioning read,iansindia mamataofficial excellent story malfunctioning read
31669,31669,alka lamba liked this tweetrequest such traitors to wait till 23rd before starting celebrations,exitpoll2019,alka lamba liked tweetrequest traitors wait till 23rd starting celebrations,alka lamba liked tweetrequest traitor wait till 23rd starting celebration
31670,31670,when pappu was 44yr old then he got 44 now he is 49 and he will get 49,exitpoll2019,pappu 44yr old got 44 49 get 49,pappu 44yr old got 44 49 get 49
31671,31671,sardanarohit aajtak,aayegatomodihi,sardanarohit aajtak,sardanarohit aajtak
31672,31672,rubikaliyaquat,aayegatomodihi,rubikaliyaquat,rubikaliyaquat
31674,31674,all major news events will now be covered after 23rd of may,exitpoll2019,major news events covered 23rd may,major news event covered 23rd may
31675,31675,rajthackeray raj thackeay after,exitpoll2019,rajthackeray raj thackeay,rajthackeray raj thackeay
31676,31676,dear rahulgandhi mamataofficial ncbn please accept the verdict of the people gracefully,news24todayschanakya,dear rahulgandhi mamataofficial ncbn please accept verdict people gracefully,dear rahulgandhi mamataofficial ncbn please accept verdict people gracefully
31677,31677,these guys actually think they will stoop so low and win elections,loksabhaelections2019,guys actually think stoop low win elections,guy actually think stoop low win election
31678,31678,mamataofficial but we trust and sure that,aayegatomodihi,mamataofficial trust sure,mamataofficial trust sure
31679,31679,show too much kindness they wont fear you if they dont fear youthey dont follow you indian politics,exitpoll2019,show much kindness wont fear dont fear youthey dont follow indian politics,show much kindness wont fear dont fear youthey dont follow indian politics
31680,31680,narendramodi bhava party pahije,exitpoll2019,narendramodi bhava party pahije,narendramodi bhava party pahije
31682,31682,one of mystery will solve on 23rd of may2019,electionresults2019,one mystery solve 23rd may2019,one mystery solve 23rd may2019
31683,31683,just wait for the serious and final astrological forecast on 23 rd morning before the counting begins,exitpoll2019,wait serious final astrological forecast 23 rd morning counting begins,wait serious final astrological forecast 23 rd morning counting begin
31684,31684,i dont believe in but they have some entertainment value,exitpolls,dont believe entertainment value,dont believe entertainment value
31685,31685,social media will be like modi modi for next few days,exitpoll2019,social media like modi modi next days,social medium like modi modi next day
31686,31686,sagarikaghose ndtv marathon ends but your rona will start from 23rd onwardsbe ready to become a rudaali for more 5 yrs,exitpoll2019,sagarikaghose ndtv marathon ends rona start 23rd onwardsbe ready become rudaali 5 yrs,sagarikaghose ndtv marathon end rona start 23rd onwardsbe ready become rudaali 5 yr
31688,31688,giridharsri tdhnair if exit polls are off mark by 19 then upaothers have a chance,exitpoll2019,giridharsri tdhnair exit polls mark 19 upaothers chance,giridharsri tdhnair exit poll mark 19 upaothers chance
31689,31689,nidhi ranaayyub shailichopra ndtv anchors after,exitpoll2019,nidhi ranaayyub shailichopra ndtv anchors,nidhi ranaayyub shailichopra ndtv anchor
31690,31690,first time in the history of india an election is held to remove a prime minister and not to elect a prime minister,republicexitpoll,first time history india election held remove prime minister elect prime minister,first time history india election held remove prime minister elect prime minister
31691,31691,i did my duty for the nation and,gotinked,duty nation,duty nation
31693,31693,planning to subscribe burnol for beloved sardesairajdeep and sagarikaghose for next 5 years,exitpoll2019,planning subscribe burnol beloved sardesairajdeep sagarikaghose next 5 years,planning subscribe burnol beloved sardesairajdeep sagarikaghose next 5 year
31694,31694,dhruvrathee khushsundar waste of talking to these congressi people,aayegatomodihi,dhruvrathee khushsundar waste talking congressi people,dhruvrathee khushsundar waste talking congressi people
31696,31696,after sonia to rahul beta daaru pee rha hairahul,exitpoll2019,sonia rahul beta daaru pee rha hairahul,sonia rahul beta daaru pee rha hairahul
31697,31697,minhazmerchant an excellent story on malfunctioning of read now,evms,minhazmerchant excellent story malfunctioning read,minhazmerchant excellent story malfunctioning read
31698,31698,dear rajasthan dont let me down as you did in the assembly polls regards a true marwadi,aayegatomodihi,dear rajasthan dont let assembly polls regards true marwadi,dear rajasthan dont let assembly poll regard true marwadi
31699,31699,shashitharoor if these are nightmare to you then trust me 23rd may will be the doomsday for you,exitpolls,shashitharoor nightmare trust 23rd may doomsday,shashitharoor nightmare trust 23rd may doomsday
31700,31700,atulsinghjha an excellent story on malfunctioning of read now,evms,atulsinghjha excellent story malfunctioning read,atulsinghjha excellent story malfunctioning read
31701,31701,topic of rudali till 23rd may opposition meltdown after results day,aayegatomodihi,topic rudali till 23rd may opposition meltdown results day,topic rudali till 23rd may opposition meltdown result day
31702,31702,passport size photo de diyo,republicexitpoll,passport size photo de diyo,passport size photo de diyo
31704,31704,mazidin chl be nikal ab 2024 me miliyo,modiaanewalahai,mazidin chl nikal ab 2024 miliyo,mazidin chl nikal ab 2024 miliyo
31705,31705,final results,exitpoll2019,final results,final result
31708,31708,real god is kabir not buddha,news24todayschanakya,real god kabir buddha,real god kabir buddha
31709,31709,am bad at predicting but i wish the results to be surprising when compared to,exitpoll2019,bad predicting wish results surprising compared,bad predicting wish result surprising compared
31710,31710,sirjadeja after watching piddies amp chamchas be like,exitpoll2019,sirjadeja watching piddies amp chamchas like,sirjadeja watching piddies amp chamchas like
31711,31711,prasannavishy this is the correct analysis of narendramodi has earned well deserved affection of bharat,tsunamo,prasannavishy correct analysis narendramodi earned well deserved affection bharat,prasannavishy correct analysis narendramodi earned well deserved affection bharat
31713,31713,liberals are requested to break their tv so that they dont need to see modi again for next 5 years,exitpoll2019,liberals requested break tv dont need see modi next 5 years,liberal requested break tv dont need see modi next 5 year
31714,31714,btw where is abhisarsharma,exitpoll2019,btw abhisarsharma,btw abhisarsharma
31715,31715,this was clear irrespective of,exitpoll2019,clear irrespective,clear irrespective
31716,31716,who will blame on 23rd may,evm,blame 23rd may,blame 23rd may
31717,31717,it would be a moral victory for congress this time as well,exitpolls,would moral victory congress time well,would moral victory congress time well
31718,31718,ghantawe r not bhakts jo rastrawaad ki patti pehen ke fudke ko dekh kar,exitpoll2019,ghantawe r bhakts jo rastrawaad ki patti pehen ke fudke ko dekh kar,ghantawe r bhakts jo rastrawaad ki patti pehen ke fudke ko dekh kar
31719,31719,may i have u attention plz narendra damodar das modi is shortly arriving on may 23,exitpoll2019,may u attention plz narendra damodar das modi shortly arriving may 23,may u attention plz narendra damodar da modi shortly arriving may 23
31720,31720,condition of congress after,exitpolls,condition congress,condition congress
31721,31721,ani always amazing and inspiring to watch this great man,exitpoll2019,ani always amazing inspiring watch great man,ani always amazing inspiring watch great man
31723,31723,take a lookthis is by far the most scientific exit poll backed by a huge sample size,indiatodayaxispoll,take lookthis far scientific exit poll backed huge sample size,take lookthis far scientific exit poll backed huge sample size
31724,31724,it is the time to fallow otherwise will dissolve like aamaadmiparty,modiaanewalahai,time fallow otherwise dissolve like aamaadmiparty,time fallow otherwise dissolve like aamaadmiparty
31726,31726,modi will get elected again for pm of india with absolute majority,exitpoll2019,modi get elected pm india absolute majority,modi get elected pm india absolute majority
31728,31728,other politicians check exit poll resultspandit rahul ji checks flight tickets,exitpoll2019,politicians check exit poll resultspandit rahul ji checks flight tickets,politician check exit poll resultspandit rahul ji check flight ticket
31729,31729,seems the numbers are struck in the throat this is called gale nahi utharna,exitpoll2019,seems numbers struck throat called gale nahi utharna,seems number struck throat called gale nahi utharna
31730,31730,amritapandey1 bjp4india,modiaanewalahai,amritapandey1 bjp4india,amritapandey1 bjp4india
31733,31733,hvgoenka what do you want to say those who are voting for rahulgandhi are surely this time narendramodi riturathaur,modiaanewalahai,hvgoenka want say voting rahulgandhi surely time narendramodi riturathaur,hvgoenka want say voting rahulgandhi surely time narendramodi riturathaur
31736,31736,gains for spbsp in uttar pradesh predict exit polls,loksabhaelections2019,gains spbsp uttar pradesh predict exit polls,gain spbsp uttar pradesh predict exit poll
31737,31737,mohamednasheed narendramodi,aayegatomodihi,mohamednasheed narendramodi,mohamednasheed narendramodi
31738,31738,the main factor for the failure of rahul would be anti campaigning modi through out his entire campaign,indiaelections2019,main factor failure rahul would anti campaigning modi entire campaign,main factor failure rahul would anti campaigning modi entire campaign
31739,31739,ppbajpai dekh k,exitpoll,ppbajpai dekh k,ppbajpai dekh k
31740,31740,reinvent is an interesting word how will rahul reinvent is the question,indiatodayaxispoll,reinvent interesting word rahul reinvent question,reinvent interesting word rahul reinvent question
31741,31741,republic abbas will chicken out on 23,republicexitpoll,republic abbas chicken 23,republic abbas chicken 23
31742,31742,aap ish pr bharosha kr sakte ho todayschanakya,exitpoll2019,aap ish pr bharosha kr sakte ho todayschanakya,aap ish pr bharosha kr sakte ho todayschanakya
31743,31743,you predicted accurately in 2014 and the country hopes you are proved right again,exitpoll2019,predicted accurately 2014 country hopes proved right,predicted accurately 2014 country hope proved right
